货号,款号,库存,产品线,款式分类,主石重,主石颜色,主石净度,主石切工,主石,主石粒数,主石规格,主石形状,副石1,副石1粒数,副石1重,指圈,主成色,主成色重,成本价
1.50203E+11,KLDW000239,转仓中,钻石饰品,耳饰,0.225,H,SI,,钻石,2,.225,,,,0,,18K白金,0.72,1028.26
1207052900,KLDW000259,转仓中,钻石饰品,耳钉,0.086,,,,钻石,2,.086,,,0,0,,PT950,1.85,1397.43
1310001902,KLDW001485,转仓中,珍珠饰品,耳钉,0,,,,大溪地珍珠,0,,,,0,0,,18K白金,0,1580.41
1306015228,KLDW001566,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,16.5
1212001215,KLDW007556,转仓中,钻石饰品,耳钉,0.12,,,,钻石,2,,,,,0,,18K白金,1.17,804.34
1105020078,KLDW008902,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,,,,,0,0,,18K白金,0.2,629
1205054028,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,49
1205054043,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,49
1305021524,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021533,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021534,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021539,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021540,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021543,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021549,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021554,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021555,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021556,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021557,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021558,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021559,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021560,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021562,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021564,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021566,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021568,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021569,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021570,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021571,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305021572,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,54
1305028818,KLDW009030,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,58.8
1402126420,KLDW010368,转仓中,钻石饰品,耳钉,0.3,,,,,1,,,,0,0,,PT950,0.7,365.17
1303012968,KLDW010377,转仓中,钻石饰品,耳钉,0.23,,,,钻石,1,,,钻石,1,0.238,,18K白金,0.756,4292.42
1411355262,KLDW010834,转仓中,珍珠饰品,耳饰,0,,,,,0,,,,0,0,,S925,0,67
1108010480,KLDW010896,转仓中,珍珠饰品,吊坠,0,,,,珍珠,0,,,钻石,12,0.049,,18K白金,1.8,1326
1309007366,KLDW010899,转仓中,珍珠饰品,耳钉,0,,,,大溪地珍珠,0,,,,0,0,,18K白金,0,1432.9
1103040599,KLDW010925,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,0,,,,0,0,,18K白金,0,237
1105020770,KLDW010925,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,0,,,,0,0,,18K白金,0,454
1203042134,KLDW010925,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K白金,0,455
1203042138,KLDW010925,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K白金,0,455
1105018005,KLDW010931,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K白金,0,247
1106007069,KLDW010931,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K白金,0,246
1311072484,KLDW010931,转仓中,珍珠饰品,耳钉,0,,,,,0,,,,0,0,,18K白金,0,287
1105017981,KLDW010933,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,0,,,,0,0,,18K白金,0,201
1103040593,kldw010946,转仓中,珍珠饰品,耳钉,0,,,,淡水珍珠,0,,,,0,0,,18K白金,0,199
1105017973,KLDW010946,转仓中,珍珠饰品,耳钉,0,,,,淡水珍珠,0,,,,0,0,,18K白金,0,166
1310005737,KLDW010946,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,199
1310005738,KLDW010946,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,166
1202000189,KLDW011090,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,钻石,22,0.18,,18K白金,3.3,1948
1402120029,KLDW011426,转仓中,珍珠饰品,耳钉,0,,,,淡水白珠,0,,,,0,0,,S925,0,372
1103038074,KLDW012971,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,2,,,,0,0,,S925,1.2,650
1103038210,KLDW012971,转仓中,珍珠饰品,耳钉,0,,,,珍珠,2,,,,0,0,,S925,1.2,650
1203000560,KLDW013591,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,钻石,16,0.127,,18K白金,1.7,1467
1.50422E+11,KLDW014146,转仓中,钻石饰品,耳饰,0.211,I-J,SI,,钻石,2,,,,,0,,PT950,1.41,1340.66
1103038317,KLDW014595,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,1,,,钻石,26,0.168,,18K白金,2.1,4010
1104000302,KLDW014600,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,,,,钻石,,0,,18K黄金,1.2,1920.12
1103038026,KLDW014606,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,,,,,0,0,,18K黄金,0.2,1460
1103038330,KLDW014629,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,1,,,钻石,16,0.101,,18K黄金,2.4,3520
1103038445,KLDW014638,转仓中,珍珠饰品,耳钉,0.09,,,,海水珍珠,6,,,钻石,6,0.09,,18K白金,1.3,1001
1103038467,KLDW014641,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,2,,,钻石,16,0.101,,18K白金,2.3,2431
1207010026,KLDW014857,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,钻石,32,0.14,,18K白金,1.6,1404
1112046346,KLDW016833,转仓中,钻石饰品,耳钉,0.169,,,,钻石,2,,,钻石,18,0.058,,18K白金,3.555,2088.06
1206018783,KLDW017757,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,134
1206018831,KLDW017757,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,134
1206018892,KLDW017757,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,134
1206018913,KLDW017757,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,S925,0,134
1312092732,KLDW019884,转仓中,钻石饰品,耳饰,0.368,I-J,VS,,钻石,2,,,,,0,,18K白金,1.886,3435.61
1311074912,KLDW023765,转仓中,珍珠饰品,耳饰,0,,,,淡水白珠,0,,,,0,0,,S925,0,7.7
1.50312E+11,KLDW026644,转仓中,钻石饰品,耳饰,0.111,,,,钻石,2,.111,,,0,0,,18K白金,1.338,768.68
1409306272,KLDW026644,转仓中,钻石饰品,耳饰,0.032,,,,钻石,1,.032,,钻石,1,0.07,,18K白金,1.338,749.96
1.50313E+11,KLDW026644,转仓中,钻石饰品,耳饰,0.078,,,,钻石,1,.078,,钻石,1,0.034,,18K白金,1.516,773.15
1.50313E+11,KLDW026645,转仓中,钻石饰品,耳饰,0.204,I-J,SI,,钻石,2,0.204,,,0,0,,18K白金,2.002,1140.09
1.50202E+11,KLDW026646,转仓中,钻石饰品,耳饰,0.188,,,,钻石,2,.188,,,,0,,18K白金,1.182,1063.67
1.50202E+11,KLDW026646,转仓中,钻石饰品,耳饰,0.188,,,,钻石,2,.188,,,,0,,18K白金,1.19,1065.37
1.50416E+11,KLDW026660,转仓中,钻石饰品,耳饰,0.196,I-J,SI,,钻石,2,0.196,,钻石,12,0.165,,18K白金,0.648,1665.15
1412415708,KLDW027034,转仓中,钻石饰品,耳饰,0.196,H,SI,,钻石,1,,,钻石,1,0.181,,18K白金,0.895,2623.43
1501431788,KLDW027082,转仓中,钻石饰品,耳饰,0.616,,,,钻石,64,,,,,0,,18K白金,2.7,3728.92
1501433402,KLDW027082,转仓中,钻石饰品,耳饰,0.631,,,,钻石,64,,,,,0,,18K白金,2.66,3779.51
1.50303E+11,KLDW027822,转仓中,珍珠饰品,耳饰,0,,,,海水珍珠,2,,,,0,0,,18K玫瑰金,2.49,896
1105020066,KLHW008898,转仓中,珍珠饰品,耳钉,0,,,,珍珠,2,,,钻石,6,0.07,,18K白金,0.9,1269
1105020072,KLHW008900,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,2,,,,0,0,,18K白金,1.1,1069
1103040723,KLHW008911,转仓中,珍珠饰品,耳钉,0,,,,海水珍珠,2,,,钻石,56,0.314,,18K黄金,1.9,3537.96
1202054239,KLHW010391,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K黄金,2.8,1992
1108010509,KLHW010531,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,98
1312084937,KLHW011008,转仓中,珍珠饰品,吊坠,0,,,,大溪地珍珠,0,,,,0,0,,18K白金,0,1615
1108010504,KLHW011026,转仓中,珍珠饰品,耳钉,0,,,,珍珠,0,,,,0,0,,18K白金,0.81,564
1108000016,KLNW008479,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,1.1,918
1108010506,KLNW010531,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,98
1209033832,KLNW010539,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K黄金,0,713.38
1209033836,KLNW010539,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K黄金,0,713.38
1306015254,KLNW010539,转仓中,珍珠饰品,项链,0,,,,南洋金珠,0,,,,0,0,,18K黄金,0,1029.6
1407207558,KLNW010539,转仓中,珍珠饰品,项链,0,,,,海水珍珠,0,9-9.5mm,,,0,0,,18K黄金,1.1,702.2
1.50204E+11,KLNW010539,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,748
1.50204E+11,KLNW010539,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,748
1.50204E+11,KLNW010539,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,748
1.50204E+11,KLNW010825,转仓中,珍珠饰品,项链,0,,,,淡水白珠,0,,,,0,0,,S925,0,231.6
1.50204E+11,KLNW010835,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,S925,0,143
1105017936,KLNW010926,转仓中,珍珠饰品,淡水珍珠,0,,,,珍珠,0,,,,0,0,,S925,0,689
1105017976,KLNW010926,转仓中,珍珠饰品,淡水珍珠,0,,,,珍珠,0,,,,0,0,,S925,0,689
1105020763,KLNW010930,转仓中,珍珠饰品,项链,0,,,,海水珍珠,0,,,,0,0,,S925,0,747
1104000201,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,0,,,,0,0,,S925,0,2297
1105017988,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,0,,,,0,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,淡水白珠,,,,,,0,,S925,0,2297
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1.50204E+11,KLNW010932,转仓中,珍珠饰品,项链,0,,,,海水珍珠,,,,,,0,,S925,0,2081
1104042465,KLNW011040,转仓中,珍珠饰品,项链,0,,,,淡水珍珠,0,,,,0,0,,S925,1.4,114
1105028732,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K黄金,1.133,402.82
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
1.50204E+11,KLNW011110,转仓中,珍珠饰品,项链,0,,,,珍珠,0,,,,0,0,,18K白金,0,491.7
